L,Beta,<E>,<E2>,<M>,<|M|>,<M2>
200,0.10,-8138.82,66321224.44,-0.22,197.01,60880.25
200,0.15,-12467.79,155535349.92,-1.96,232.22,84570.64
200,0.20,-17128.90,293496183.92,1.00,270.40,114410.34
200,0.25,-22288.60,496891596.16,-2.92,334.59,175441.66
200,0.30,-28178.63,794167444.47,-2.94,423.83,-145993.96
200,0.35,-35182.04,1237930920.30,-16.03,624.18,179047.88
200,0.40,-44249.29,1958222506.18,68.53,1199.27,122763.62
200,0.40,-44244.06,1957754259.48,-8.67,1261.89,19179.27
200,0.41,-46498.91,2162382604.03,87.51,1584.20,-21275.78
200,0.42,-49029.28,2404139892.22,-98.06,2296.77,-21857.73
200,0.43,-52019.11,2706310209.21,-194.19,3811.89,-16254.72
200,0.44,-56410.15,3182664965.91,20447.50,20447.50,13062.53
200,0.45,-60524.36,3663519455.73,29910.33,29910.33,-8066.22
200,0.46,-63267.82,4003053885.89,32614.48,32614.48,-9714.01
200,0.47,-65375.12,4274098794.72,34083.06,34083.06,-20994.52
200,0.48,-67104.92,4503230707.72,35098.25,35098.25,-14367.94
200,0.49,-68568.17,4701728032.36,35857.81,35857.81,-1309.40
200,0.50,-69824.07,4875515621.22,36452.94,36452.94,-15020.86
200,0.51,-70904.25,5027512591.81,36929.33,36929.33,-25618.75
200,0.52,-71846.04,5161940398.37,37320.12,37320.12,36426.08
200,0.53,-72671.83,5281271603.67,37645.41,37645.41,22926.95
200,0.54,-73400.33,5387676750.85,37922.02,37922.02,-36143.58
200,0.55,-74043.93,5482563636.57,38157.18,38157.18,-14647.62
200,0.56,-74621.44,5568413636.26,38362.21,38362.21,39396.87
200,0.57,-75130.17,5644591137.46,38537.34,38537.34,19140.95
200,0.58,-75586.59,5713375820.60,38690.57,38690.57,-2084.37
200,0.59,-75996.21,5775462845.98,38825.65,38825.65,-12090.42
200,0.60,-76364.71,5831603771.00,38945.03,38945.03,166510.47
200,0.65,-77720.78,6040540410.28,39364.22,39364.22,-80531.47
200,0.70,-78550.19,6170145372.23,39606.30,39606.30,138142.59
200,0.75,-79065.23,6251318283.14,39750.91,39750.91,17242.55
200,0.80,-79393.12,6303272234.15,39840.56,39840.56,-149600.99
200,0.85,-79604.69,6336909649.79,39897.21,39897.21,73054.14
200,0.90,-79740.47,6358543955.83,39933.05,39933.05,-72356.49
200,0.95,-79828.60,6372606603.15,39956.07,39956.07,48202.88
